,Table ID,Line,UniqueID,Stub,Data Release
54,B01001A, ,,Universe:  People who are White alone,
55,B01001A,1,B01001A_001,Total:,
56,B01001A,2,B01001A_002,Male:,
57,B01001A,3,B01001A_003,Under 5 years ,
58,B01001A,4,B01001A_004,5 to 9 years ,
59,B01001A,5,B01001A_005,10 to 14 years ,
60,B01001A,6,B01001A_006,15 to 17 years ,
61,B01001A,7,B01001A_007,18 and 19 years ,
62,B01001A,8,B01001A_008,20 to 24 years ,
63,B01001A,9,B01001A_009,25 to 29 years ,
64,B01001A,10,B01001A_010,30 to 34 years ,
65,B01001A,11,B01001A_011,35 to 44 years ,
66,B01001A,12,B01001A_012,45 to 54 years ,
67,B01001A,13,B01001A_013,55 to 64 years ,
68,B01001A,14,B01001A_014,65 to 74 years ,
69,B01001A,15,B01001A_015,75 to 84 years ,
70,B01001A,16,B01001A_016,85 years and over ,
71,B01001A,17,B01001A_017,Female:,
72,B01001A,18,B01001A_018,Under 5 years ,
73,B01001A,19,B01001A_019,5 to 9 years ,
74,B01001A,20,B01001A_020,10 to 14 years ,
75,B01001A,21,B01001A_021,15 to 17 years ,
76,B01001A,22,B01001A_022,18 and 19 years ,
77,B01001A,23,B01001A_023,20 to 24 years ,
78,B01001A,24,B01001A_024,25 to 29 years ,
79,B01001A,25,B01001A_025,30 to 34 years ,
80,B01001A,26,B01001A_026,35 to 44 years ,
81,B01001A,27,B01001A_027,45 to 54 years ,
82,B01001A,28,B01001A_028,55 to 64 years ,
83,B01001A,29,B01001A_029,65 to 74 years ,
84,B01001A,30,B01001A_030,75 to 84 years ,
85,B01001A,31,B01001A_031,85 years and over ,
86, ,,,,
87,C01001A,,,SEX BY AGE (WHITE ALONE),1
88,C01001A,,,Universe:  People who are White alone,
89,C01001A,1,C01001A_001,Total:,
90,C01001A,2,C01001A_002,Male:,
91,C01001A,3,C01001A_003,Under 18 years,
92,C01001A,4,C01001A_004,18 to 64 years,
93,C01001A,5,C01001A_005,65 years and over,
94,C01001A,6,C01001A_006,Female:,
95,C01001A,7,C01001A_007,Under 18 years,
96,C01001A,8,C01001A_008,18 to 64 years,
97,C01001A,9,C01001A_009,65 years and over,
98,,,,,
99,B01001B, ,,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),"1,5"
100,B01001B, ,,Universe:  Black or African American alone,
101,B01001B,1,B01001B_001,Total:,
102,B01001B,2,B01001B_002,Male:,
103,B01001B,3,B01001B_003,Under 5 years ,
104,B01001B,4,B01001B_004,5 to 9 years ,
105,B01001B,5,B01001B_005,10 to 14 years ,
106,B01001B,6,B01001B_006,15 to 17 years ,
107,B01001B,7,B01001B_007,18 and 19 years ,
108,B01001B,8,B01001B_008,20 to 24 years ,
109,B01001B,9,B01001B_009,25 to 29 years ,
110,B01001B,10,B01001B_010,30 to 34 years ,
111,B01001B,11,B01001B_011,35 to 44 years ,
112,B01001B,12,B01001B_012,45 to 54 years ,
113,B01001B,13,B01001B_013,55 to 64 years ,
114,B01001B,14,B01001B_014,65 to 74 years ,
115,B01001B,15,B01001B_015,75 to 84 years ,
116,B01001B,16,B01001B_016,85 years and over ,
117,B01001B,17,B01001B_017,Female:,
118,B01001B,18,B01001B_018,Under 5 years ,
119,B01001B,19,B01001B_019,5 to 9 years ,
120,B01001B,20,B01001B_020,10 to 14 years ,
121,B01001B,21,B01001B_021,15 to 17 years ,
122,B01001B,22,B01001B_022,18 and 19 years ,
123,B01001B,23,B01001B_023,20 to 24 years ,
124,B01001B,24,B01001B_024,25 to 29 years ,
125,B01001B,25,B01001B_025,30 to 34 years ,
126,B01001B,26,B01001B_026,35 to 44 years ,
127,B01001B,27,B01001B_027,45 to 54 years ,
128,B01001B,28,B01001B_028,55 to 64 years ,
129,B01001B,29,B01001B_029,65 to 74 years ,
130,B01001B,30,B01001B_030,75 to 84 years ,
131,B01001B,31,B01001B_031,85 years and over ,
132, ,,,,
133,C01001B,,,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),1
134,C01001B,,,Universe:  Black or African American alone,
135,C01001B,1,C01001B_001,Total:,
136,C01001B,2,C01001B_002,Male:,
137,C01001B,3,C01001B_003,Under 18 years,
138,C01001B,4,C01001B_004,18 to 64 years,
139,C01001B,5,C01001B_005,65 years and over,
140,C01001B,6,C01001B_006,Female:,
141,C01001B,7,C01001B_007,Under 18 years,
142,C01001B,8,C01001B_008,18 to 64 years,
143,C01001B,9,C01001B_009,65 years and over,
144,,,,,
145,B01001C, ,,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),"1,5"
146,B01001C, ,,Universe:  People who are American Indian and Alaska Native alone,
147,B01001C,1,B01001C_001,Total:,
148,B01001C,2,B01001C_002,Male:,
149,B01001C,3,B01001C_003,Under 5 years ,
150,B01001C,4,B01001C_004,5 to 9 years ,
151,B01001C,5,B01001C_005,10 to 14 years ,
152,B01001C,6,B01001C_006,15 to 17 years ,
153,B01001C,7,B01001C_007,18 and 19 years ,
154,B01001C,8,B01001C_008,20 to 24 years ,
155,B01001C,9,B01001C_009,25 to 29 years ,
156,B01001C,10,B01001C_010,30 to 34 years ,
157,B01001C,11,B01001C_011,35 to 44 years ,
158,B01001C,12,B01001C_012,45 to 54 years ,
159,B01001C,13,B01001C_013,55 to 64 years ,
160,B01001C,14,B01001C_014,65 to 74 years ,
161,B01001C,15,B01001C_015,75 to 84 years ,
162,B01001C,16,B01001C_016,85 years and over ,
163,B01001C,17,B01001C_017,Female:,
164,B01001C,18,B01001C_018,Under 5 years ,
165,B01001C,19,B01001C_019,5 to 9 years ,
166,B01001C,20,B01001C_020,10 to 14 years ,
167,B01001C,21,B01001C_021,15 to 17 years ,
168,B01001C,22,B01001C_022,18 and 19 years ,
169,B01001C,23,B01001C_023,20 to 24 years ,
170,B01001C,24,B01001C_024,25 to 29 years ,
171,B01001C,25,B01001C_025,30 to 34 years ,
172,B01001C,26,B01001C_026,35 to 44 years ,
173,B01001C,27,B01001C_027,45 to 54 years ,
174,B01001C,28,B01001C_028,55 to 64 years ,
175,B01001C,29,B01001C_029,65 to 74 years ,
176,B01001C,30,B01001C_030,75 to 84 years ,
177,B01001C,31,B01001C_031,85 years and over ,
178, ,,,,
179,C01001C,,,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),1
180,C01001C,,,Universe:  People who are American Indian and Alaska Native alone,
181,C01001C,1,C01001C_001,Total:,
182,C01001C,2,C01001C_002,Male:,
183,C01001C,3,C01001C_003,Under 18 years,
184,C01001C,4,C01001C_004,18 to 64 years,
185,C01001C,5,C01001C_005,65 years and over,
186,C01001C,6,C01001C_006,Female:,
187,C01001C,7,C01001C_007,Under 18 years,
188,C01001C,8,C01001C_008,18 to 64 years,
189,C01001C,9,C01001C_009,65 years and over,
190,,,,,
191,B01001D, ,,SEX BY AGE (ASIAN ALONE),"1,5"
192,B01001D, ,,Universe:  People who are Asian alone,
193,B01001D,1,B01001D_001,Total:,
194,B01001D,2,B01001D_002,Male:,
195,B01001D,3,B01001D_003,Under 5 years ,
196,B01001D,4,B01001D_004,5 to 9 years ,
197,B01001D,5,B01001D_005,10 to 14 years ,
198,B01001D,6,B01001D_006,15 to 17 years ,
199,B01001D,7,B01001D_007,18 and 19 years ,
200,B01001D,8,B01001D_008,20 to 24 years ,
201,B01001D,9,B01001D_009,25 to 29 years ,
202,B01001D,10,B01001D_010,30 to 34 years ,
203,B01001D,11,B01001D_011,35 to 44 years ,
204,B01001D,12,B01001D_012,45 to 54 years ,
205,B01001D,13,B01001D_013,55 to 64 years ,
206,B01001D,14,B01001D_014,65 to 74 years ,
207,B01001D,15,B01001D_015,75 to 84 years ,
208,B01001D,16,B01001D_016,85 years and over ,
209,B01001D,17,B01001D_017,Female:,
210,B01001D,18,B01001D_018,Under 5 years ,
211,B01001D,19,B01001D_019,5 to 9 years ,
212,B01001D,20,B01001D_020,10 to 14 years ,
213,B01001D,21,B01001D_021,15 to 17 years ,
214,B01001D,22,B01001D_022,18 and 19 years ,
215,B01001D,23,B01001D_023,20 to 24 years ,
216,B01001D,24,B01001D_024,25 to 29 years ,
217,B01001D,25,B01001D_025,30 to 34 years ,
218,B01001D,26,B01001D_026,35 to 44 years ,
219,B01001D,27,B01001D_027,45 to 54 years ,
220,B01001D,28,B01001D_028,55 to 64 years ,
221,B01001D,29,B01001D_029,65 to 74 years ,
222,B01001D,30,B01001D_030,75 to 84 years ,
223,B01001D,31,B01001D_031,85 years and over ,
224, ,,,,
225,C01001D,,,SEX BY AGE (ASIAN ALONE),1
226,C01001D,,,Universe:  People who are Asian alone,
227,C01001D,1,C01001D_001,Total:,
228,C01001D,2,C01001D_002,Male:,
229,C01001D,3,C01001D_003,Under 18 years,
230,C01001D,4,C01001D_004,18 to 64 years,
231,C01001D,5,C01001D_005,65 years and over,
232,C01001D,6,C01001D_006,Female:,
233,C01001D,7,C01001D_007,Under 18 years,
234,C01001D,8,C01001D_008,18 to 64 years,
235,C01001D,9,C01001D_009,65 years and over,
236,,,,,
237,B01001E, ,,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),"1,5"
238,B01001E, ,,Universe:  People who are Native Hawaiian and Other Pacific Islander alone,
239,B01001E,1,B01001E_001,Total:,
240,B01001E,2,B01001E_002,Male:,
241,B01001E,3,B01001E_003,Under 5 years ,
242,B01001E,4,B01001E_004,5 to 9 years ,
243,B01001E,5,B01001E_005,10 to 14 years ,
244,B01001E,6,B01001E_006,15 to 17 years ,
245,B01001E,7,B01001E_007,18 and 19 years ,
246,B01001E,8,B01001E_008,20 to 24 years ,
247,B01001E,9,B01001E_009,25 to 29 years ,
248,B01001E,10,B01001E_010,30 to 34 years ,
249,B01001E,11,B01001E_011,35 to 44 years ,
250,B01001E,12,B01001E_012,45 to 54 years ,
251,B01001E,13,B01001E_013,55 to 64 years ,
252,B01001E,14,B01001E_014,65 to 74 years ,
253,B01001E,15,B01001E_015,75 to 84 years ,
254,B01001E,16,B01001E_016,85 years and over ,
255,B01001E,17,B01001E_017,Female:,
256,B01001E,18,B01001E_018,Under 5 years ,
257,B01001E,19,B01001E_019,5 to 9 years ,
258,B01001E,20,B01001E_020,10 to 14 years ,
259,B01001E,21,B01001E_021,15 to 17 years ,
260,B01001E,22,B01001E_022,18 and 19 years ,
261,B01001E,23,B01001E_023,20 to 24 years ,
262,B01001E,24,B01001E_024,25 to 29 years ,
263,B01001E,25,B01001E_025,30 to 34 years ,
264,B01001E,26,B01001E_026,35 to 44 years ,
265,B01001E,27,B01001E_027,45 to 54 years ,
266,B01001E,28,B01001E_028,55 to 64 years ,
267,B01001E,29,B01001E_029,65 to 74 years ,
268,B01001E,30,B01001E_030,75 to 84 years ,
269,B01001E,31,B01001E_031,85 years and over ,
270, ,,,,
271,C01001E,,,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),1
272,C01001E,,,Universe:  People who are Native Hawaiian and Other Pacific Islander alone,
273,C01001E,1,C01001E_001,Total:,
274,C01001E,2,C01001E_002,Male:,
275,C01001E,3,C01001E_003,Under 18 years,
276,C01001E,4,C01001E_004,18 to 64 years,
277,C01001E,5,C01001E_005,65 years and over,
278,C01001E,6,C01001E_006,Female:,
279,C01001E,7,C01001E_007,Under 18 years,
280,C01001E,8,C01001E_008,18 to 64 years,
281,C01001E,9,C01001E_009,65 years and over,
282,,,,,
283,B01001F, ,,SEX BY AGE (SOME OTHER RACE ALONE),"1,5"
284,B01001F, ,,Universe:  People who are Some Other Race alone,
285,B01001F,1,B01001F_001,Total:,
286,B01001F,2,B01001F_002,Male:,
287,B01001F,3,B01001F_003,Under 5 years ,
288,B01001F,4,B01001F_004,5 to 9 years ,
289,B01001F,5,B01001F_005,10 to 14 years ,
290,B01001F,6,B01001F_006,15 to 17 years ,
291,B01001F,7,B01001F_007,18 and 19 years ,
292,B01001F,8,B01001F_008,20 to 24 years ,
293,B01001F,9,B01001F_009,25 to 29 years ,
294,B01001F,10,B01001F_010,30 to 34 years ,
295,B01001F,11,B01001F_011,35 to 44 years ,
296,B01001F,12,B01001F_012,45 to 54 years ,
297,B01001F,13,B01001F_013,55 to 64 years ,
298,B01001F,14,B01001F_014,65 to 74 years ,
299,B01001F,15,B01001F_015,75 to 84 years ,
300,B01001F,16,B01001F_016,85 years and over ,
301,B01001F,17,B01001F_017,Female:,
302,B01001F,18,B01001F_018,Under 5 years ,
303,B01001F,19,B01001F_019,5 to 9 years ,
304,B01001F,20,B01001F_020,10 to 14 years ,
305,B01001F,21,B01001F_021,15 to 17 years ,
306,B01001F,22,B01001F_022,18 and 19 years ,
307,B01001F,23,B01001F_023,20 to 24 years ,
308,B01001F,24,B01001F_024,25 to 29 years ,
309,B01001F,25,B01001F_025,30 to 34 years ,
310,B01001F,26,B01001F_026,35 to 44 years ,
311,B01001F,27,B01001F_027,45 to 54 years ,
312,B01001F,28,B01001F_028,55 to 64 years ,
313,B01001F,29,B01001F_029,65 to 74 years ,
314,B01001F,30,B01001F_030,75 to 84 years ,
315,B01001F,31,B01001F_031,85 years and over ,
316, ,,,,
317,C01001F,,,SEX BY AGE (SOME OTHER RACE ALONE),1
318,C01001F,,,Universe:  People who are Some Other Race alone,
319,C01001F,1,C01001F_001,Total:,
320,C01001F,2,C01001F_002,Male:,
321,C01001F,3,C01001F_003,Under 18 years,
322,C01001F,4,C01001F_004,18 to 64 years,
323,C01001F,5,C01001F_005,65 years and over,
324,C01001F,6,C01001F_006,Female:,
325,C01001F,7,C01001F_007,Under 18 years,
326,C01001F,8,C01001F_008,18 to 64 years,
327,C01001F,9,C01001F_009,65 years and over,
328,,,,,
329,B01001G, ,,SEX BY AGE (TWO OR MORE RACES),"1,5"
330,B01001G, ,,Universe:  People who are Two or More Races,
331,B01001G,1,B01001G_001,Total:,
332,B01001G,2,B01001G_002,Male:,
333,B01001G,3,B01001G_003,Under 5 years ,
334,B01001G,4,B01001G_004,5 to 9 years ,
335,B01001G,5,B01001G_005,10 to 14 years ,
336,B01001G,6,B01001G_006,15 to 17 years ,
337,B01001G,7,B01001G_007,18 and 19 years ,
338,B01001G,8,B01001G_008,20 to 24 years ,
339,B01001G,9,B01001G_009,25 to 29 years ,
340,B01001G,10,B01001G_010,30 to 34 years ,
341,B01001G,11,B01001G_011,35 to 44 years ,
342,B01001G,12,B01001G_012,45 to 54 years ,
343,B01001G,13,B01001G_013,55 to 64 years ,
344,B01001G,14,B01001G_014,65 to 74 years ,
345,B01001G,15,B01001G_015,75 to 84 years ,
346,B01001G,16,B01001G_016,85 years and over ,
347,B01001G,17,B01001G_017,Female:,
348,B01001G,18,B01001G_018,Under 5 years ,
349,B01001G,19,B01001G_019,5 to 9 years ,
350,B01001G,20,B01001G_020,10 to 14 years ,
351,B01001G,21,B01001G_021,15 to 17 years ,
352,B01001G,22,B01001G_022,18 and 19 years ,
353,B01001G,23,B01001G_023,20 to 24 years ,
354,B01001G,24,B01001G_024,25 to 29 years ,
355,B01001G,25,B01001G_025,30 to 34 years ,
356,B01001G,26,B01001G_026,35 to 44 years ,
357,B01001G,27,B01001G_027,45 to 54 years ,
358,B01001G,28,B01001G_028,55 to 64 years ,
359,B01001G,29,B01001G_029,65 to 74 years ,
360,B01001G,30,B01001G_030,75 to 84 years ,
361,B01001G,31,B01001G_031,85 years and over ,
362,,,,,
363,C01001G,,,SEX BY AGE (TWO OR MORE RACES),1
364,C01001G,,,Universe:  People who are Two or More Races,
365,C01001G,1,C01001G_001,Total:,
366,C01001G,2,C01001G_002,Male:,
367,C01001G,3,C01001G_003,Under 18 years,
368,C01001G,4,C01001G_004,18 to 64 years,
369,C01001G,5,C01001G_005,65 years and over,
370,C01001G,6,C01001G_006,Female:,
371,C01001G,7,C01001G_007,Under 18 years,
372,C01001G,8,C01001G_008,18 to 64 years,
373,C01001G,9,C01001G_009,65 years and over,
374,,,,,
375,B01001H, ,,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","1,5"
376,B01001H, ,,"Universe:  White alone, not Hispanic or Latino population ",
377,B01001H,1,B01001H_001,Total:,
378,B01001H,2,B01001H_002,Male:,
379,B01001H,3,B01001H_003,Under 5 years ,
380,B01001H,4,B01001H_004,5 to 9 years ,
381,B01001H,5,B01001H_005,10 to 14 years ,
382,B01001H,6,B01001H_006,15 to 17 years ,
383,B01001H,7,B01001H_007,18 and 19 years ,
384,B01001H,8,B01001H_008,20 to 24 years ,
385,B01001H,9,B01001H_009,25 to 29 years ,
386,B01001H,10,B01001H_010,30 to 34 years ,
387,B01001H,11,B01001H_011,35 to 44 years ,
388,B01001H,12,B01001H_012,45 to 54 years ,
389,B01001H,13,B01001H_013,55 to 64 years ,
390,B01001H,14,B01001H_014,65 to 74 years ,
391,B01001H,15,B01001H_015,75 to 84 years ,
392,B01001H,16,B01001H_016,85 years and over ,
393,B01001H,17,B01001H_017,Female:,
394,B01001H,18,B01001H_018,Under 5 years ,
395,B01001H,19,B01001H_019,5 to 9 years ,
396,B01001H,20,B01001H_020,10 to 14 years ,
397,B01001H,21,B01001H_021,15 to 17 years ,
398,B01001H,22,B01001H_022,18 and 19 years ,
399,B01001H,23,B01001H_023,20 to 24 years ,
400,B01001H,24,B01001H_024,25 to 29 years ,
401,B01001H,25,B01001H_025,30 to 34 years ,
402,B01001H,26,B01001H_026,35 to 44 years ,
403,B01001H,27,B01001H_027,45 to 54 years ,
404,B01001H,28,B01001H_028,55 to 64 years ,
405,B01001H,29,B01001H_029,65 to 74 years ,
406,B01001H,30,B01001H_030,75 to 84 years ,
407,B01001H,31,B01001H_031,85 years and over ,
408, ,,,,
409,C01001H,,,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",1
410,C01001H,,,"Universe:  White alone, not Hispanic or Latino population",
411,C01001H,1,C01001H_001,Total:,
412,C01001H,2,C01001H_002,Male:,
413,C01001H,3,C01001H_003,Under 18 years,
414,C01001H,4,C01001H_004,18 to 64 years,
415,C01001H,5,C01001H_005,65 years and over,
416,C01001H,6,C01001H_006,Female:,
417,C01001H,7,C01001H_007,Under 18 years,
418,C01001H,8,C01001H_008,18 to 64 years,
419,C01001H,9,C01001H_009,65 years and over,
420,,,,,
421,B01001I, ,,SEX BY AGE (HISPANIC OR LATINO),"1,5"
422,B01001I, ,,Universe:  Hispanic or Latino population ,
423,B01001I,1,B01001I_001,Total:,
424,B01001I,2,B01001I_002,Male:,
425,B01001I,3,B01001I_003,Under 5 years ,
426,B01001I,4,B01001I_004,5 to 9 years ,
427,B01001I,5,B01001I_005,10 to 14 years ,
428,B01001I,6,B01001I_006,15 to 17 years ,
429,B01001I,7,B01001I_007,18 and 19 years ,
430,B01001I,8,B01001I_008,20 to 24 years ,
431,B01001I,9,B01001I_009,25 to 29 years ,
432,B01001I,10,B01001I_010,30 to 34 years ,
433,B01001I,11,B01001I_011,35 to 44 years ,
434,B01001I,12,B01001I_012,45 to 54 years ,
435,B01001I,13,B01001I_013,55 to 64 years ,
436,B01001I,14,B01001I_014,65 to 74 years ,
437,B01001I,15,B01001I_015,75 to 84 years ,
438,B01001I,16,B01001I_016,85 years and over ,
439,B01001I,17,B01001I_017,Female:,
440,B01001I,18,B01001I_018,Under 5 years ,
441,B01001I,19,B01001I_019,5 to 9 years ,
442,B01001I,20,B01001I_020,10 to 14 years ,
443,B01001I,21,B01001I_021,15 to 17 years ,
444,B01001I,22,B01001I_022,18 and 19 years ,
445,B01001I,23,B01001I_023,20 to 24 years ,
446,B01001I,24,B01001I_024,25 to 29 years ,
447,B01001I,25,B01001I_025,30 to 34 years ,
448,B01001I,26,B01001I_026,35 to 44 years ,
449,B01001I,27,B01001I_027,45 to 54 years ,
450,B01001I,28,B01001I_028,55 to 64 years ,
451,B01001I,29,B01001I_029,65 to 74 years ,
452,B01001I,30,B01001I_030,75 to 84 years ,
453,B01001I,31,B01001I_031,85 years and over ,
454, ,,,,
455,C01001I,,,SEX BY AGE (HISPANIC OR LATINO),1
456,C01001I,,,Universe:  Hispanic or Latino population,
457,C01001I,1,C01001I_001,Total:,
458,C01001I,2,C01001I_002,Male:,
459,C01001I,3,C01001I_003,Under 18 years,
460,C01001I,4,C01001I_004,18 to 64 years,
461,C01001I,5,C01001I_005,65 years and over,
462,C01001I,6,C01001I_006,Female:,
463,C01001I,7,C01001I_007,Under 18 years,
464,C01001I,8,C01001I_008,18 to 64 years,
465,C01001I,9,C01001I_009,65 years and over,
466,,,,,
467,B01002, ,,MEDIAN AGE BY SEX,"1,5"
468,B01002, ,,Universe:  Total population,
469,B01002,0.5,,Median age --,
470,B01002,1,B01002_001,Total:,
471,B01002,2,B01002_002,Male,
472,B01002,3,B01002_003,Female,
473, ,,,,
474,B01002A, ,,MEDIAN AGE BY SEX (WHITE ALONE),"1,5"
475,B01002A, ,,Universe:  People who are White alone,
476,B01002A,0.5,,Median age --,
477,B01002A,1,B01002A_001,Total:,
478,B01002A,2,B01002A_002,Male,
479,B01002A,3,B01002A_003,Female,
480, ,,,,
481,B01002B, ,,MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),"1,5"
482,B01002B, ,,Universe:  Black or African American alone,
483,B01002B,0.5,,Median age --,
484,B01002B,1,B01002B_001,Total:,
485,B01002B,2,B01002B_002,Male,
486,B01002B,3,B01002B_003,Female,
487, ,,,,
488,B01002C, ,,MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE ALONE) ,"1,5"
489,B01002C, ,,Universe:  People who are American Indian and Alaska Native alone,
490,B01002C,0.5,,Median age --,
491,B01002C,1,B01002C_001,Total:,
492,B01002C,2,B01002C_002,Male,
493,B01002C,3,B01002C_003,Female,
494, ,,,,
495,B01002D, ,,MEDIAN AGE BY SEX (ASIAN ALONE),"1,5"
496,B01002D, ,,Universe:  People who are Asian alone,
497,B01002D,0.5,,Median age --,
498,B01002D,1,B01002D_001,Total:,
499,B01002D,2,B01002D_002,Male,
500,B01002D,3,B01002D_003,Female,
501, ,,,,
502,B01002E, ,,MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),"1,5"
503,B01002E, ,,Universe:  People who are Native Hawaiian and Other Pacific Islander alone,
504,B01002E,0.5,,Median age --,
505,B01002E,1,B01002E_001,Total:,
506,B01002E,2,B01002E_002,Male,
507,B01002E,3,B01002E_003,Female,
508, ,,,,
509,B01002F, ,,MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),"1,5"
510,B01002F, ,,Universe:  People who are Some Other Race alone,
511,B01002F,0.5,,Median age --,
512,B01002F,1,B01002F_001,Total:,
513,B01002F,2,B01002F_002,Male,
514,B01002F,3,B01002F_003,Female,
515, ,,,,
516,B01002G, ,,MEDIAN AGE BY SEX (TWO OR MORE RACES),"1,5"
517,B01002G, ,,Universe:  People who are Two or More Races,
518,B01002G,0.5,,Median age --,
519,B01002G,1,B01002G_001,Total:,
520,B01002G,2,B01002G_002,Male,
521,B01002G,3,B01002G_003,Female,
522, ,,,,
523,B01002H, ,,"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)","1,5"
524,B01002H, ,,"Universe:  White alone, not Hispanic or Latino population",
525,B01002H,0.5,,Median age --,
526,B01002H,1,B01002H_001,Total:,
527,B01002H,2,B01002H_002,Male,
528,B01002H,3,B01002H_003,Female,
529, ,,,,
530,B01002I, ,,MEDIAN AGE BY SEX (HISPANIC OR LATINO),"1,5"
531,B01002I, ,,Universe:  Hispanic or Latino population,
532,B01002I,0.5,,Median age --,
533,B01002I,1,B01002I_001,Total:,
534,B01002I,2,B01002I_002,Male,
535,B01002I,3,B01002I_003,Female,
536,,,,,
537,B01003,,,TOTAL POPULATION,"1,5"
538,B01003,,,Universe:  Total population,
539,B01003,1,B01003_001,Total,
540,,,,,
541,B02001,,,RACE,"1,5"
542,B02001,,,Universe:  Total population,
543,B02001,1,B02001_001,Total:,
544,B02001,2,B02001_002,White alone,
545,B02001,3,B02001_003,Black or African American alone,
546,B02001,4,B02001_004,American Indian and Alaska Native alone,
547,B02001,5,B02001_005,Asian alone,
548,B02001,6,B02001_006,Native Hawaiian and Other Pacific Islander alone,
549,B02001,7,B02001_007,Some other race alone,
550,B02001,8,B02001_008,Two or more races:,
551,B02001,9,B02001_009,Two races including Some other race,
552,B02001,10,B02001_010,"Two races excluding Some other race, and three or more races",
553, ,,,,
554,B02003,,,DETAILED RACE,1
555,B02003,,,Universe:  Total population,
556,B02003,1,B02003_001,Total:,
557,B02003,2,B02003_002,Population of one race:,
558,B02003,3,B02003_003,White alone,
559,B02003,4,B02003_004,Black or African American alone,
560,B02003,5,B02003_005,American Indian and Alaska Native alone,
561,B02003,6,B02003_006,Asian alone,
562,B02003,7,B02003_007,Native Hawaiian and Other Pacific Islander alone,
563,B02003,8,B02003_008,Some other race alone,
564,B02003,9,B02003_009,Population of two or more races:,
565,B02003,10,B02003_010,Population of two races:,
566,B02003,11,B02003_011,White; Black or African American,
567,B02003,12,B02003_012,White; American Indian and Alaska Native,
568,B02003,13,B02003_013,White; Asian,
569,B02003,14,B02003_014,White; Native Hawaiian and Other Pacific Islander,
570,B02003,15,B02003_015,White; Some other race,
571,B02003,16,B02003_016,Black or African American; American Indian and Alaska Native,
572,B02003,17,B02003_017,Black or African American; Asian,
